Date: 5/12/2015
From File
Magnet Field
C:\experiments\Alpha\Beamline\Scanfiles\Ichiro\2015_Alnico\XMCD_Co_Alnico_Lum.scn
Delay After Move (s): 0.50000000
Count Time (s): 2.00000000
Scan Number: 2
Stay at End: 1
Description Length: 0

Time of Day	Time (s)	Energy	Magnet Field	Z	Counter 0	Counter 1	Counter 2	Counter 3	Counter 6	Raw Magnet Voltage	Raw Magnet Current	Magnet Voltage	Magnet Current	Temperature A	Temperature B	Glowbar	Beam Current	Heater Power	Heater Range	Injection	Hall Probe 1	Hall Probe 2	Hall Probe 3	Hall Probe 4	AI 0	AI 1	Magnet Resistance	Gate	Energy	Aperture Position	Aperture Size	X	Y	Z	Theta	Magnet Field	Keithley Volt Source 22
03:18:52	1914.32995605	848.99957275	-0.50000000	55.60009384	334630.00000000	634471.00000000	0.00000000	46116.00000000	2000024.00000000	-5.72836590	-9.56456566	-5.74050999	-9.56339073	0.00000000	0.00000000	0.00000000	499.99404907	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60025978	0.00000000	848.99822998	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:18:56	1918.31994629	849.50878906	0.50000000	55.60009384	335119.00000000	631393.00000000	0.00000000	44663.00000000	2000024.00000000	5.84428167	9.56814766	5.85387707	9.56774139	0.00000000	0.00000000	0.00000000	500.72094727	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61183506	0.00000000	849.51153564	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:19:00	1922.17004395	849.50195312	-0.50000000	55.60009384	334964.00000000	635617.00000000	0.00000000	44961.00000000	2000024.00000000	-5.73113251	-9.56442738	-5.74534750	-9.56242371	0.00000000	0.00000000	0.00000000	500.63626099	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60082775	0.00000000	849.50329590	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:19:03	1926.11401367	850.01037598	0.50000000	55.60009384	334837.00000000	631524.00000000	0.00000000	42873.00000000	2000024.00000000	5.84412861	9.56797886	5.85790920	9.56588554	0.00000000	0.00000000	0.00000000	500.55041504	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61237663	0.00000000	850.01037598	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:19:07	1930.02795410	850.00085449	-0.50000000	55.60009384	334690.00000000	635543.00000000	0.00000000	43077.00000000	2000023.00000000	-5.72806787	-9.56408691	-5.73738241	-9.56384945	0.00000000	0.00000000	0.00000000	500.46173096	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.59990311	0.00000000	850.00225830	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:19:11	1933.93103027	850.00219727	0.50000000	55.60009384	334557.00000000	631488.00000000	0.00000000	43492.00000000	2000024.00000000	5.84449911	9.56853485	5.86174726	9.56582069	0.00000000	0.00000000	0.00000000	500.37609863	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61278349	0.00000000	850.00219727	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:19:15	1937.75805664	850.00085449	-0.50000000	55.60009384	334455.00000000	635663.00000000	0.00000000	42802.00000000	2000023.00000000	-5.73052835	-9.56488991	-5.74718952	-9.56201744	0.00000000	0.00000000	0.00000000	500.29885864	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60104674	0.00000000	849.99945068	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:19:19	1941.80798340	850.26281738	0.50000000	55.60009384	334240.00000000	631828.00000000	0.00000000	41056.00000000	2000023.00000000	5.84179687	9.56800365	5.85139322	9.56749439	0.00000000	0.00000000	0.00000000	500.20352173	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61159128	0.00000000	850.26281738	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:19:23	1945.70300293	850.25048828	-0.50000000	55.60009384	334192.00000000	635877.00000000	0.00000000	41209.00000000	2000024.00000000	-5.73192930	-9.56477261	-5.74798727	-9.56176949	0.00000000	0.00000000	0.00000000	500.12145996	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60114616	0.00000000	850.24914551	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:19:27	1949.61999512	850.51263428	0.50000000	55.60009384	334085.00000000	632055.00000000	0.00000000	38869.00000000	2000023.00000000	5.84627533	9.56812000	5.85767365	9.56618118	0.00000000	0.00000000	0.00000000	500.04287720	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61233276	0.00000000	850.51123047	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:19:31	1953.39099121	850.50305176	-0.50000000	55.60009384	334099.00000000	636070.00000000	0.00000000	38956.00000000	2000023.00000000	-5.73459148	-9.56498528	-5.75675488	-9.55882359	0.00000000	0.00000000	0.00000000	500.06042480	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60225600	0.00000000	850.50170898	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:19:35	1957.33203125	850.76123047	0.50000000	55.60009384	334230.00000000	633216.00000000	0.00000000	36053.00000000	2000024.00000000	5.84445095	9.56772518	5.85525513	9.56679630	0.00000000	0.00000000	0.00000000	500.60516357	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61203986	0.00000000	850.75982666	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
03:19:39	1961.25097656	850.75164795	-0.50000000	55.60009384	334254.00000000	637085.00000000	0.00000000	36921.00000000	2000023.00000000	-5.72966385	-9.56440830	-5.74143887	-9.56336308	0.00000000	0.00000000	0.00000000	500.51095581	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60035884	0.00000000	850.75024414	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	-0.50000000	0.00000000
03:19:43	1965.16894531	851.00860596	0.50000000	55.60009384	334143.00000000	633715.00000000	0.00000000	34002.00000000	2000023.00000000	5.84432220	9.56745243	5.85912609	9.56582451	0.00000000	0.00000000	0.00000000	500.42703247	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.61250794	0.00000000	851.00860596	2.99994373	0.50011265	-0.50047618	-6.20968246	55.60009384	-231.95759583	0.50000000	0.00000000
